productid,product_name,year_month,inventory_level,sales_units,storage_cost_pln_per_unit_month,shelf_life_months,lead_time_months,safety_stock_months,price_pln_per_unit,plan_2023_units,plan_2024_units,plan_2025_units,plan_2023_pln,plan_2024_pln,plan_2025_pln,price_pln_per_unit_plan,date,year,year_month_numeric,monthly_revenue,inventory_carrying_cost,annual_sales,average_inventory,average_monthly_demand,excess_inventory,inventory_turnover,lead_time_demand,reorder_point,expiration_risk
P001,Product 001,202301,219.0,56.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2023-01-01,2023,202301,1154.72,74.46,,,,163.0,,,,3361.06
P001,Product 001,202302,172.0,47.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2023-02-01,2023,202302,969.14,58.48,,,,125.0,,,,2577.5
P001,Product 001,202303,129.0,43.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2023-03-01,2023,202303,886.66,43.86,,,,86.0,,,,1773.3200000000002
P001,Product 001,202304,89.0,40.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2023-04-01,2023,202304,824.8,30.26,,,,49.0,,,,1010.38
P001,Product 001,202305,39.0,50.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2023-05-01,2023,202305,1031.0,13.26,,,,-11.0,,,,-226.82000000000002
P001,Product 001,202306,237.0,72.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2023-06-01,2023,202306,1484.64,80.58,,,,165.0,,,,3402.3
P001,Product 001,202307,171.0,66.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2023-07-01,2023,202307,1360.92,58.14,,,,105.0,,,,2165.1
P001,Product 001,202308,109.0,62.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2023-08-01,2023,202308,1278.44,37.06,,,,47.0,,,,969.1400000000001
P001,Product 001,202309,66.0,43.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2023-09-01,2023,202309,886.66,22.44,,,,23.0,,,,474.26000000000005
P001,Product 001,202310,14.0,52.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2023-10-01,2023,202310,1072.24,4.76,,,,-38.0,,,,-783.5600000000001
